	id	name	Q1	Q2	Q3	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12
160	554	New Zealand	-1.192991449	-11.037063284	13.99877363	0	1	647	1479	1504	1528	1562	1752	1848	1959	2059	2128
161	558	Nicaragua	0	0	0	0	0	5	14	759	2519	3672	4494	5170	5514	5784	5991
162	562	Niger	0	0	0	0	0	27	719	958	1075	1134	1176	1197	1220	1548	2876
163	566	Nigeria	0	0	0	0	1	135	1932	10162	25694	43151	54008	58848	62853	67557	80922
164	570	Niue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	574	Norfolk Island	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166	578	Norway	-1.502753858	-4.663954097	4.605174619	0	15	4641	7738	8440	8879	9240	10782	14027	20331	36150	45455
167	580	North Macedonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	581	United States Minor Outlying Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	583	Micronesia, Federated States of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	584	Marshall Islands	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4
171	585	Palau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	586	Pakistan	0	0	0	0	4	2118	18114	72460	213470	278305	295849	312806	333970	400482	465070
173	591	Panama	0	0	0	0	0	1181	6532	13463	33550	65256	92982	112595	133598	165806	220261
174	598	Papua New Guinea	0	0	0	0	0	1	8	8	11	72	459	534	589	656	761
175	600	Paraguay	0	0	0	0	0	65	266	986	2221	5338	17662	40758	63185	82424	102371
176	604	Peru	0	0	0	0	0	1065	36976	164476	285213	407492	647166	811768	900180	962530	1000153
177	608	Philippines	0	0	0	1	3	2084	8488	18086	37514	93354	220819	311694	380729	431630	464004
178	612	Pitcairn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	616	Poland	-0.26103648	-9.000662267	7.878236969	0	0	2311	12877	23786	34393	45688	67372	91514	362731	990811	1226883
180	620	Portugal	-3.954021598	-13.897573882	13.325471392	0	0	7443	25045	32500	42141	51072	58012	75542	141279	298061	383258
181	624	Guinea-Bissau	0	0	0	0	0	8	205	1256	1654	1981	2205	2324	2413	2441	2447
182	626	Timor-Leste	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	630	Puerto Rico	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	634	Qatar	0	0	0	0	1	781	13409	56910	96088	110695	118778	125760	132556	138833	142448
185	638	R?©union	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
186	642	Romania	0.000919282	-12.191641042	5.555162965	0	3	2245	12240	19257	26970	50886	87540	127572	241339	475362	604251
187	643	Russian Federation	-0.477340472	-2.832359761	0.696599551	2	2	2337	106498	405843	646929	838461	992402	1170799	1606267	2275936	2905196
188	646	Rwanda	0	0	0	0	0	75	243	370	1025	2022	4063	4840	5137	5934	7598
189	652	Saint Barth?©lemy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
190	654	Saint Helena, Ascension and Tristan da Cunha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	659	Saint Kitts and Nevis	0	0	0	0	0	8	15	15	15	17	17	19	19	22	30
192	660	Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193	662	Saint Lucia	0	0	0	0	0	13	17	18	19	25	26	27	78	259	305
194	663	Saint Martin (French part)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
195	666	Saint Pierre and Miquelon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
196	670	Saint Vincent and the Grenadines	0	0	0	0	0	1	16	26	29	54	60	64	74	85	108
197	674	San Marino	0	0	0	0	1	236	569	671	698	699	715	732	928	1612	2205
198	678	Sao Tome and Principe	0	0	0	0	0	0	14	483	714	871	896	911	945	991	1012
199	682	Saudi Arabia	-0.90199214	-4.906523369	1.199999992	0	0	1563	22753	85261	190823	275905	315772	334605	347282	357360	361536
200	686	Senegal	0	0	0	0	0	175	933	3645	6793	10232	13611	14982	15616	16089	18043
201	688	Serbia	0	0	0	0	0	900	9009	11412	14564	25552	31406	33551	46954	175438	312253
202	690	Seychelles	0	0	0	0	0	10	11	11	81	114	136	144	153	183	205
203	694	Sierra Leone	0	0	0	0	0	1	124	861	1462	1823	2022	2231	2366	2412	2524
204	702	Singapore	0	0	0	13	102	926	16169	34884	43907	52205	56812	57765	58015	58218	58482
205	703	Slovakia	-5.077927914	-8.300909507	11.641680353	0	0	363	1396	1521	1667	2292	3917	10141	57664	105929	158905
206	704	Viet Nam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207	705	Slovenia	-4.660072286	-9.788389611	12.405556548	0	0	802	1429	1473	1600	2156	2883	5690	34307	75814	109934
208	706	Somalia	0	0	0	0	0	5	601	1976	2924	3212	3310	3588	3941	4451	4690
209	710	South Africa	-0.422548271	-16.641962996	13.530993656	0	0	1353	5647	32683	151209	493183	627041	674339	725452	790004	954258
210	716	Zimbabwe	0	0	0	0	0	0	35	994	2007	2322	2527	2704	2905	3109	3455
211	724	Spain	-5.249658572	-17.791879065	16.69809828	0	45	95923	213435	239479	249271	288522	462858	769188	1185678	1648187	1842289
212	728	South Sudan	0	0	0	0	0	7	442	5026	9257	11644	13189	13640	13804	17810	23316
213	729	Sudan	0	0	0	0	0	8	40	178	591	3169	6497	7838	8367	9950	12656
214	732	Western Sahara	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
215	740	Suriname	0	0	0	0	0	9	10	23	515	1650	4034	4877	5203	5312	5734
216	744	Svalbard and Jan Mayen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217	748	Swaziland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
218	752	Sweden	0.332241724	-7.950005454	4.930314681	0	14	4834	21601	38661	67924	77076	84379	92863	124355	243129	396048
219	756	Switzerland	-1.731200029	-7.028700796	7.166023226	0	18	16605	29586	30862	31714	35232	42177	53282	154251	327072	423299
220	760	Syrian Arab Republic	0	0	0	0	0	10	43	122	279	757	2765	4200	5728	7887	10571
221	762	Tajikistan	0	0	0	0	0	0	15	3930	5900	7409	8583	9769	11017	12194	13071
222	764	Thailand	0	0	0	19	42	1651	2954	3081	3171	3310	3417	3569	3784	4008	5762
223	768	Togo	0	0	0	0	0	34	116	442	650	941	1400	1784	2331	2974	3494
224	772	Tokelau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
225	776	Tonga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226	780	Trinidad and Tobago	0	0	0	0	0	87	116	117	130	169	1759	4531	5692	6669	7071
227	784	United Arab Emirates	0	0	0	0	0	394	994	1077	1174	1535	3803	18413	59813	96769	125000
228	788	Tunisia	0.17856591	-10.783870904	15.564347437	0	0	13531	120204	163942	199906	230873	270133	318663	375367	638847	2082610
229	792	Turkey	0	0	0	4	21	664	12481	34557	48667	60506	70231	94190	132629	168860	197124
230	795	Turkmenistan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
231	796	Turks and Caicos Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
232	798	Tuvalu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233	800	Uganda	0	0	0	0	0	44	83	417	889	1154	2972	8129	12495	20459	32399
234	804	Ukraine	0	0	0	0	0	645	10406	23672	45254	71404	124132	214446	399330	752343	1018199
235	807	Macedonia, the former Yugoslav Republic of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
236	818	Egypt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
237	826	United Kingdom	-2.522693203	-19.810925559	15.50703357	2	61	38815	178771	257539	285216	304793	338083	455846	1014793	1633733	2155996
238	831	Guernsey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239	832	Jersey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240	833	Isle of Man	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
241	834	Tanzania, United Republic of	0	0	0	0	0	19	480	509	509	509	509	509	509	509	509
242	840	United States	-1.262654605	-8.986116769	7.403491898	8	25	192177	1076224	1794465	2629439	4553337	6017097	7219993	9137194	13599496	18458373
243	850	Virgin Islands, U.S.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
244	854	Burkina Faso	0	0	0	0	0	261	645	847	962	1106	1368	2056	2500	2886	5649
245	858	Uruguay	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
246	860	Uzbekistan	0	0	0	0	0	338	643	823	936	1264	1595	2046	3124	5857	14710
247	862	Venezuela, Bolivarian Republic of	0	0	0	0	0	172	2039	3623	8503	24009	41893	56717	66932	73094	76315
248	876	Wallis and Futuna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
249	882	Samoa	0	0	0	0	0	135	333	1510	5832	18574	46728	75122	92013	102394	111024
250	887	Yemen	0	0	0	0	0	0	6	323	1158	1728	1958	2034	2063	2191	2087
251	894	Zambia	0	0	0	0	0	35	106	1057	1594	5963	12097	14759	16432	17647	19122
